identifier	altId	text	transType	isPunc	isPrimary
40001019012	disgrace-1	disgrace	k	False	True
40001019013	her-2	her	k	False	True
40001019014	,-2	,		True	False
40001019015	intended-1	intended	k	False	True
40001019016	to-2	to	m	False	False
40001019017	divorce-1	divorce	k	False	True
40001019018	her-2	her	k	False	True
40001019019	secretly-1	secretly	k	False	True
40001019020	.-1	.		True	False
40001020001	But-1	But	k	False	True
40001020002	{-1	{		True	False
40001020003	as-1	as	m	False	False
40001020004	}-1	}		True	False
40001020005	he-1	he	k	False	True
40001020006	was-1	was	m	False	False
40001020007	considering-1	considering	k	False	True
40001020008	these-1	these	k	False	True
40001020009	things-1	things	a	False	False
40001020010	,-1	,		True	False
40001020011	behold-1	behold	k	False	True
40001020012	,-2	,		True	False
40001020013	an-1	an	m	False	False
40001020014	angel-1	angel	k	False	True
40001020015	of-1	of	m	False	False
40001020016	the-1	the		False	False
40001020017	Lord-1	Lord	k	False	True
40001020018	appeared-1	appeared	k	False	True
40001020019	to-1	to	m	False	False
40001020020	him-1	him	k	False	True
40001020021	in-1	in	k	False	True
40001020022	a-1	a	m	False	False
40001020023	dream-1	dream	k	False	True
40001020024	,-2	,		True	False
40001020025	saying-1	saying	k	False	True
40001020026	,-2	,		True	False
40001020027	“-1	“		True	False
40001020028	Joseph-1	Joseph	k	False	True
40001020029	,-2	,		True	False
40001020030	son-1	son	k	False	True
40001020031	of-2	of	m	False	False
40001020032	David-1	David	k	False	True
40001020033	,-2	,		True	False
40001020034	do-1	do	m	False	False
40001020035	not-1	not	k	False	True
40001020036	be-1	be	m	False	False
40001020037	afraid-1	afraid	k	False	True
40001020038	to-2	to	m	False	False
40001020039	take-1	take	k	False	True
40001020040	Mary-1	Mary	k	False	True
40001020041	{-2	{		True	False
40001020042	as-2	as		False	False
40001020043	}-2	}		True	False
40001020044	your-1	your	k	False	True
40001020045	wife-1	wife	k	False	True
40001020046	,-2	,		True	False
40001020047	for-1	for	k	False	True
40001020048	what-1	what	m	False	False
40001020049	has-1	has	m	False	False
40001020050	been-1	been	m	False	False
40001020051	conceived-1	conceived	k	False	True
40001020052	in-2	in	k	False	True
40001020053	her-1	her	k	False	True
40001020054	is-1	is	k	False	True
40001020055	from-1	from	k	False	True
40001020056	the-2	the		False	False
40001020057	Holy-1	Holy	k	False	True
40001020058	Spirit-1	Spirit	k	False	True
40001020059	.-1	.		True	False
40001021001	And-1	And	k	False	True
40001021002	she-1	she	m	False	False
40001021003	will-1	will	m	False	False
40001021004	give-1	give	k	False	False
40001021005	birth-1	birth	k	False	True
40001021006	to-1	to	k	False	False
40001021007	a-1	a	m	False	False
40001021008	son-1	son	k	False	True
40001021009	,-1	,		True	False
40001021010	and-1	and	k	False	True
40001021011	you-1	you	m	False	False
40001021012	will-2	will	m	False	False
40001021013	call-1	call	k	False	True
40001021014	his-1	his	k	False	True
40001021015	name-1	name	k	False	True
40001021016	‘-1	‘		True	False
40001021017	Jesus-1	Jesus	k	False	True
40001021018	,-2	,		True	False
40001021019	’-1	’		True	False
40001021020	because-1	because	k	False	True
40001021021	he-1	he	k	False	True
40001021022	will-2	will	m	False	False
40001021023	save-1	save	k	False	True
40001021024	his-2	his	k	False	True
40001021025	people-1	people	k	False	True
40001021026	from-1	from	k	False	True
40001021027	their-1	their	k	False	True
40001021028	sins-1	sins	k	False	True
40001021029	.-1	.		True	False
40001021030	”-1	”		True	False
40001022001	Now-1	Now	k	False	True
40001022002	all-1	all	k	False	True
40001022003	this-1	this	k	False	True
40001022004	happened-1	happened	k	False	True
40001022005	in-1	in	k	False	True
40001022006	order-1	order	k	False	False
40001022007	that-1	that	k	False	False
40001022008	what-1	what	m	False	False
40001022009	was-1	was	m	False	False
40001022010	spoken-1	spoken	k	False	True
40001022011	by-1	by	k	False	True
40001022012	the-1	the		False	False
40001022013	Lord-1	Lord	k	False	True
40001022014	through-1	through	k	False	True
40001022015	the-2	the	k	False	True
40001022016	prophet-1	prophet	k	False	True
40001022017	would-1	would	m	False	False
40001022018	be-1	be	m	False	False
40001022019	fulfilled-1	fulfilled	k	False	True
40001022020	,-1	,		True	False
